Product Code,Category,Sub Category,Brand,Product,Description,Features,Final Price,Image,Related
INGL3100,Fashion,Watches,Citizen,Citizen AN3420-00E Men's Watch,<p>Citizen brings this men's wrist watch with spectacular looks and attractive features! Gear up with this chronograph watch that is scratch and 100 metre water resistant. This wristwatch is excellent for rough drive or adventurous outing. </p>,,9613.5,INGL3100.jpg,INGL3060 INGL3101 INGL3102 INGL3103
INGL3101,Fashion,Watches,Citizen,Citizen AN8020-51H Men's Watch,"<p>Amalgamating the trend conjoining sportiness and stainless steel, Citizen carves the AN8020-41H men's watch. A wonder in a watch's disguise, this enduring piece of sturdiness and silver toned metallics is a perfect piece for every occasion, every venue. The grey tone on the textured dial of the watch has sub-dials depicting time in a chronographic format, while the sporty shape of the watch keeps it casual and charming, always.</p>",,9231,INGL3101.jpg,INGL3100 INGL3060 INGL3102 INGL3103
INGL3102,Fashion,Watches,Citizen,Citizen AN3460-56 E Men's Watch,"<p>A stylish piece of timewear, this Citizen men's black dial sports watch will cater to your every occasion, it's dressy enough to wear to dinner yet refined enough to wear on an every day basis. Featuring a silver tone stainless steel bracelet, the watch boasts a modern black dial with three polished silver tone hands, powered by Japanese quartz movement.</p>",,9231,INGL3102.jpg,INGL3100 INGL3101 INGL3060 INGL3103
INGL3103,Fashion,Watches,Citizen,Citizen Watch BL8001-51L Men's Watch,"<p>From Citizen, this Eco Drive technology wristwatch comes with tremendous features of 180-Day Power Reserve, Low charge indicator, Chronograph, Luminous hands and markers, Dual time, 100-metre Water resistance, Perpetual calendar and Alarm. The watch is stainless steel and cent percent genuine.</p>",,27540,INGL3103.jpg,INGL3100 INGL3101 INGL3102 INGL3060
INGL3104,Fashion,Watches,Citizen,Citizen Quartz AN3440-02L Men's Watch,"<p>Break into any sport in style and be on track with your training and your style with this great looking watch with amazing functions strapped neatly around your wrist. This is an analog watch made for men from Citizen and is part of Citizen’s Chrono series of watches. This smart watch employs Quartz mechanism which is highly accurate and great when measuring short periods of time, and therefore useful when you are timing your quick sprint on the track during a training session.</p>",,9613.5,INGL3104.jpg,INGL3105 INGL3106 INGL3107 INGL3134
INGL3105,Fashion,Watches,Fossil,Fossil FS4552 Men's Watch,"<p>A good watch is not just a watch, it is a conversation starter, an impression maker, a confidence builder and an attention grabber, the list is charms is endless. Get the FS4552 on your wrist and enjoy this dramatic timepiece by Fossil featuring a stainless steel frame holding a round shaped dial having a black base and chronograph mechanisms to describe time. The machine inspired bezel of the watch makes it more attractive than it already is. Wear this watch because black never runs out of fashion.</p>",,9771.6,INGL3105.jpg,INGL3104 INGL3106 INGL3107 INGL3134
INGL3106,Fashion,Watches,Fossil,Fossil JR1356 Men's Watch,"<p>When power and good looks combine, the result is the JR1356 by Fossil. Embracing the dial is a steel bracelet with black written all over. The military inspired dial of the watch remains the main attraction. With chronographic sub dials on a chocolaty brown base, this wrist watch for men gives you the complete worth of the watch. Wear this watch to be a part of the ivy league.</p>",,9771.6,INGL3106.jpg,INGL3105 INGL3104 INGL3107 INGL3134
INGL3107,Fashion,Watches,Armani,Armani AR2032 Men's Watch,"<p>In trademark style and masculinity, the Emporio Armani Men's Rectangular Amber Dial Watch delivers a remarkable presence on the wrist. This stunning timepiece begins with a 47mm rectangular stainless steel case with a fixed bezel and a textured crown. These elements cradle an amber dial, which is protected by a hardened mineral crystal and features Roman numeral hour markers and black hands powered by reliable quartz movement. The dial also features the Emporio Eagle at the 12 'o clock position. A brown leather bracelet straps this watch to the wrist, while a buckle clasp ensures its secure placement. Finally, this watch boasts water resistance up to 100 feet (30 meters). With a transcendent debonair quality, this watch is a must-have for any discriminating collector.</p>",,13362,INGL3107.jpg,INGL3105 INGL3106 INGL3104 INGL3134
INGL3108,Travel,Luggage,VIP,VIP Shuttle Trolley 48cms with Sleeve,"<p>Established in 1971, VIP Industries Limited is the flagship company of the Dilip G Piramal Group. Since its inception, VIP luggage has sold over 60 million pieces around the world and has today become an epic brand synonymous with the word Travel. It is today the largest luggage brand in Asia and the second largest manufacturer of moulded luggage in the world. VIPﾒs product offerings includes a variety of hard and soft luggage - strolleys, suitcases, duffle bags, overnight travel solutions, executive cases, backpacks, and even travel accessories.</p>
","<ul>
  <li>In Built Design For Laptop Management<br />
  </li>
  <li>External Compartment For Cable Management<br />
  </li>
  <li>Ultra Compact Design For Overnight Travel</li>
</ul>",5916,INGL3108.jpg,INGL3028 INGL3029 INGL3025 INGL3900
INGL3109,Home & Kitchen,Kitchen Appliances,Philips,Philips Pop Up Toaster HD4816,"<p>The Philips 2 slice Pop up toaster with large bread slots in a compact metal design, has a sleek stainless steel body which retains heat and is a classic design. The Philips toaster consumes 800 watts of electricity. The space under the toaster allows air to flow in easily and cools down the toaster.<br />
  Functions</p>
<p>This Philips toaster has a feature of adjustable browning control where the heat levels can be adjusted to your preference and get your toasts the way you want it. You can stop the toasting process and pop up the bread any time by moving up the toasting lever manually. When the toast is ready, it pops up and the toaster switches off automatically. This compact designed toaster saves place in your counter top. The High lift feature in this HD4816 pop up toaster lifts up the small sized slices.</p>","<ul>
<li>Pop Up Toaster</li>
<li>2 Slices</li>
<li>Variable Browning</li>
<li>800 W Power Consumption</li>
</ul>",1428,INGL3109.jpg,INGL3008 INGL3007 INGL3110 INGL3111 INGL3115 INGL3227 INGL3232 INGL3230
